기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,상위 항목,상태,세부 그룹,우선순위/논의 사항,하위 항목,확인필요
,FUNC-002,,온보딩|회원관리,,,,매우높음(1순위),"스플래시 화면 (%EC%8A%A4%ED%94%8C%EB%9E%98%EC%8B%9C%20%ED%99%94%EB%A9%B4%2029a7659d7db782a59346019c3107e3fb.csv), 소셜 로그인 | 회원가입 (%EC%86%8C%EC%85%9C%20%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%ED%9A%8C%EC%9B%90%EA%B0%80%EC%9E%85%205bc7659d7db782ee803f81cf67964ef3.csv), 반려 동물 정보 입력 (%EB%B0%98%EB%A0%A4%20%EB%8F%99%EB%AC%BC%20%EC%A0%95%EB%B3%B4%20%EC%9E%85%EB%A0%A5%207287659d7db78277b20381d412742b92.csv), 회원 탈퇴 요청 (%ED%9A%8C%EC%9B%90%20%ED%83%88%ED%87%B4%20%EC%9A%94%EC%B2%AD%200867659d7db783ff9b0581e94972205a.csv), 전화번호 입력 (%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8%20%EC%9E%85%EB%A0%A5%20c907659d7db7835ebe6e018ccc084c3a.csv), 기본이미지 (%EA%B8%B0%EB%B3%B8%EC%9D%B4%EB%AF%B8%EC%A7%80%208ff7659d7db78310a5ca817173fb767b.csv)",
리뷰 요약 조회,,"상품에 등록된 리뷰 데이터 기준으로 평균 별점, 전체 리뷰 수 및 AI 리뷰 요약 정보 제공",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 요약,보통(3순위),,
리뷰 작성,,,리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 작성,높음(2순위),,
스플래시 화면,,앱 진입 시 항상 로고와 함께 표시,온보딩,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,스플래시,보통(3순위),,
타임딜 상품별 시작/종료/잔여 시각 제공,,,타임딜,메인 페이지 내 타임딜 섹션 → 타임딜 화면 (%EB%A9%94%EC%9D%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%ED%83%80%EC%9E%84%EB%94%9C%20%EC%84%B9%EC%85%98%20%E2%86%92%20%ED%83%80%EC%9E%84%EB%94%9C%20%ED%99%94%EB%A9%B4%206937659d7db782a6bb1e01c6c57adeb6.csv),,타임딜 상태 조회,매우높음(1순위),,
검색 결과 정렬,,,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,검색 결과 정렬,높음(2순위),,
추천 상품 정보 조회,,"상품 이미지, 상품명, 가격, 적합도 등 주요 정보 제공",상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품,높음(2순위),,
Q&A 탭,,,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,Q&A TAB,낮음(4순위),,
리뷰 정렬,,"추천순(리뷰 ‘좋아요’ 버튼이 눌린 순), 최신순, 별점높은순, 별점 낮은 순",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 목록,보통(3순위),,
검색 결과 페이지 내 장바구니 담기,,삭제 가능-와이어프레임 확인 후 논의 필요,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,장바구니 담기,낮음(4순위),,
함께 보면 좋은 상품,,,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,함께 보면 좋은 상품,낮음(4순위),,
검색 페이지 내 카테고리 로 둘러보기,,,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,카테고리로 둘러보기,낮음(4순위),,
상품 추천 근거 조회,,해당 반려동물에게 상품을 추천하는 이유 및 주의 사항 제공,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 근거,보통(3순위),,
전화번호 입력,,,온보딩|회원관리,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,전화번호 입력,매우낮음(5순위),,
상품 목록 조회 (카테고리별),,메인 화면에 상품 목록 조회 | 상단 카테고리를 눌렀을 때 나타나는 뷰,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,카테고리별 화면,높음(2순위),,
리뷰 필터 부분,,"리뷰 필터 부분 ",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 별 필터,보통(3순위),"내 반려동물 맞춤 리뷰 필터 (%EB%82%B4%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%EB%A7%9E%EC%B6%A4%20%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%201067659d7db7837681838133594587b4.csv), 포토 리뷰만 보기 (%ED%8F%AC%ED%86%A0%20%EB%A6%AC%EB%B7%B0%EB%A7%8C%20%EB%B3%B4%EA%B8%B0%209547659d7db78209a2fa019f3e911e68.csv), 반려동물 조건형 필터 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%EC%A1%B0%EA%B1%B4%ED%98%95%20%ED%95%84%ED%84%B0%20ac47659d7db78247a5e08153107eb3c8.csv), 상품에 옵션이 있을 경우 필터 (%EC%83%81%ED%92%88%EC%97%90%20%EC%98%B5%EC%85%98%EC%9D%B4%20%EC%9E%88%EC%9D%84%20%EA%B2%BD%EC%9A%B0%20%ED%95%84%ED%84%B0%20bc07659d7db783a39654019b1a079e32.csv), 사용기한, 재구매 여부 등 (%EC%82%AC%EC%9A%A9%EA%B8%B0%ED%95%9C,%20%EC%9E%AC%EA%B5%AC%EB%A7%A4%20%EC%97%AC%EB%B6%80%20%EB%93%B1%20dd27659d7db783f4a9f0017a69ec33ab.csv), 리뷰 필터 초기화 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EC%B4%88%EA%B8%B0%ED%99%94%207897659d7db78221a67c017718ad72f3.csv), 제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2098a7659d7db7825081da018ef2003eb7.csv)",PD확인필요
리뷰 상세 조회,,"작성자 정보, 작성자 반려 동물 정보, 별점, 작성일, 상품 사용기간 만족도, 재구매 횟수, 리뷰 내용(기본 100자)",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 상세,매우높음(1순위),,
옵션 선택 바텀시트,,,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,"옵션 선택 ",보통(3순위),,
비교 상품 조회,,상품 비교,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,비교 상품,높음(2순위),,
메인 네비게이션 내 상품 비교,,상품 추가 → 검색 페이지로 유아이 똑같이,상품 비교,,,,높음(2순위),"상품 추가 (%EC%83%81%ED%92%88%20%EC%B6%94%EA%B0%80%207a37659d7db782858bac81e084929f01.csv), 비교 상품 조회 (%EB%B9%84%EA%B5%90%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%204587659d7db7836fac1901c595343fb0.csv), 비교 상품 변경 (%EB%B9%84%EA%B5%90%20%EC%83%81%ED%92%88%20%EB%B3%80%EA%B2%BD%20d8c7659d7db7829092ab81bec1894b3a.csv), 장바구니 담기 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EB%8B%B4%EA%B8%B0%2010d7659d7db782cc8496811487ad95ee.csv), 비교 분석 요약 (%EB%B9%84%EA%B5%90%20%EB%B6%84%EC%84%9D%20%EC%9A%94%EC%95%BD%20d357659d7db782ebaf7781b5fb48fb0a.csv), 반려동물 맞춤 추천 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%EB%A7%9E%EC%B6%A4%20%EC%B6%94%EC%B2%9C%20a0f7659d7db78351aa0a818fac995480.csv), 바로 구매 (%EB%B0%94%EB%A1%9C%20%EA%B5%AC%EB%A7%A4%203647659d7db783a3901301f024c2a2c7.csv), 카테고리가 다른 상품군끼리 비교하려는 경우 (%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B0%80%20%EB%8B%A4%EB%A5%B8%20%EC%83%81%ED%92%88%EA%B5%B0%EB%81%BC%EB%A6%AC%20%EB%B9%84%EA%B5%90%ED%95%98%EB%A0%A4%EB%8A%94%20%EA%B2%BD%EC%9A%B0%209197659d7db782bda63781d18e0a994f.csv)",
"상품정보Tab 상품 상세정보 조회 ",,"원재료, 제품 유형, 용량, 급여 대상, 제조사/브랜드, 원산지 등",상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,상품 정보TAB,매우높음(1순위),,
리뷰 더보기,,"리뷰 내용이 기본자(100자)를 초과하는 경우, ‘더보기’ 버튼 제공, 선택 시 전체 리뷰 내용을 펼쳐서 조회",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 상세,낮음(4순위),,
상품 상세 진입,,상품 선택 시 해당 상품의 상세 화면으로 이동,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,상품 리스트,매우높음(1순위),,
비교 상품 변경,,비교 중인 상품을 제거하거나 다른 상품으로 변경,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,비교 상품,보통(3순위),,
상품 추가,,상품 추가 페이지,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,상품 추가,높음(2순위),,
내 반려동물 맞춤 리뷰 필터,,"현재 선택된 반려 동물 프로필 기준, 유사 조건의 반려 동물이 작성한 리뷰 필터링",리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,맞춤 리뷰 필터,보통(3순위),,
상품 추천 화면 진입,,추천 상품 화면으로 이동,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,상품 추천,높음(2순위),,
상품 배송 정보,,정적 데이터,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,배송 정보,낮음(4순위),,
비교 분석 요약,,비교 상품의 주요 차이점과 장단점을 Ai 기반으로 요약 제공,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,AI 분석,보통(3순위),,
카테고리가 다른 상품군끼리 비교하려는 경우,,,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,예외 케이스,보통(3순위),,
반려동물 프로필 전환,,반려 동물 프로필 선택 시 → 추가되어 있는 다른 프로필로 전환 가능,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,프로필 영역,보통(3순위),,
포토 리뷰만 보기,,,리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,포토리뷰 필터,낮음(4순위),,
리뷰 조회,,상품 상페 페이지 내에서의 리뷰 조회 → ‘리뷰’ 카테고리 확인 (리뷰 탭),상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,리뷰 TAB,높음(2순위),,
메인 페이지 내 타임딜 섹션 → 타임딜 화면,,,타임딜,,,,매우높음(1순위),"타임딜 상품별 시작/종료/잔여 시각 제공 (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%83%81%ED%92%88%EB%B3%84%20%EC%8B%9C%EC%9E%91%20%EC%A2%85%EB%A3%8C%20%EC%9E%94%EC%97%AC%20%EC%8B%9C%EA%B0%81%20%EC%A0%9C%EA%B3%B5%202687659d7db782eea3990169a3c4f05d.csv), 타임딜이 없는 경우 (%ED%83%80%EC%9E%84%EB%94%9C%EC%9D%B4%20%EC%97%86%EB%8A%94%20%EA%B2%BD%EC%9A%B0%20fa87659d7db7825f800681ebac75117f.csv), 타임딜 진행 중 Tab (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%A7%84%ED%96%89%20%EC%A4%91%20Tab%204627659d7db78368b4a481155dbee5ae.csv), 타임딜 오픈 예정 Tab (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%98%A4%ED%94%88%20%EC%98%88%EC%A0%95%20Tab%2049c7659d7db7820988aa0153619659af.csv)",
반려동물 맞춤 추천,,선택된 반려동물 프로필을 기준으로 비교 상품 중 더 적합한 상품과 근거 제공,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,AI 분석,보통(3순위),,
메인 네비게이션 내 좋아요 화면,,,좋아요,,,,보통(3순위),"상품 나열 (%EC%83%81%ED%92%88%20%EB%82%98%EC%97%B4%206537659d7db7833fa1c381767c168e76.csv), 제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204427659d7db78288a5cc016c0f6c2a04.csv)",
반려동물 조건형 필터,,"종, 나이, 체중, 중성화여부, 건강 관심사 등 조건을 선택하여 리뷰를 필터링",리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,반려동물리뷰 필터,보통(3순위),,PD확인필요
상품에 옵션이 있을 경우 필터,,,리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,상품 옵션 필터,낮음(4순위),,
바로 구매,,비교 화면 내 선택한 상품 기준으로 구매 절차로 이동,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,구매,보통(3순위),,
최근 검색어 키워드,FUNC-003-02,최근 검색어 노출,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,최근 검색어 조회,보통(3순위),,
기본 검색,FUNC-003-01,"검색창에 검색어를 입력 한 후 ‘검색 버튼’ 또는 키보드 내 ‘엔터’ 클릭 시, 해당 검색어 기준으로 상품 검색 수행",검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,상품 검색,높음(2순위),,BE 확인필요
반려 동물 정보 입력,FUNC-002-02,회원가입 후 나타나는 온보딩 화면,온보딩|회원관리,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,프로필 등록,매우높음(1순위),,
대표 포토 리뷰 조회,,"상품에 등록된 포토 리뷰 중 대표 이미지 4개로 노출, 전체 포토 리뷰수 함께 제공 (최신순 4개)",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,포토 리뷰,보통(3순위),,
포토리뷰 전체보기,,대표 포토 리뷰 섹션 내 ‘전체보기’ 버튼 클릭 시 포토 리뷰 목록 화면으로 이동,리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,포토 리뷰,보통(3순위),,
